p,q,x,y,z,theta,phi,rootid
9,9,0.383119,-0.574019,0.723686,43.6403,56.2796,720575940648557689
11,4,-0.03738,-0.798083,0.601386,53.0307,92.6816,720575940635225495
13,1,-0.418068,-0.740951,0.525558,58.2942,119.4331,720575940603042272
8,17,0.598459,0.06901,0.798176,37.0437,-6.5779,720575940604607678
8,15,0.580432,-0.128331,0.804133,36.4734,12.4673,720575940631544082
8,16,0.596165,-0.034352,0.802127,36.6663,3.2978,720575940631433487
15,0,-0.677527,-0.56822,0.466993,62.1607,140.0145,720575940630720204
9,10,0.42234,-0.512732,0.747486,41.627,50.5216,720575940632164044
10,7,0.223156,-0.688446,0.690104,46.3616,72.0402,720575940633953965
12,3,-0.198429,-0.785662,0.58597,54.1285,104.1744,720575940630201851
9,11,0.459794,-0.444488,0.768778,39.7557,44.0303,720575940635889015
11,5,0.018705,-0.765383,0.643303,49.9615,88.6,720575940632433052
14,1,-0.513245,-0.670262,0.53603,57.5862,127.4426,720575940611352469
13,2,-0.356049,-0.742879,0.566886,55.4666,115.6076,720575940650403449
9,12,0.478475,-0.374376,0.794295,37.4113,38.0409,720575940619780731
10,8,0.274105,-0.636237,0.721158,43.8499,66.6926,720575940616558405
9,13,0.494191,-0.302568,0.815002,35.4125,31.477,720575940622913285
10,9,0.315945,-0.581566,0.749639,41.4408,61.4863,720575940616496102
11,6,0.070619,-0.728288,0.681622,47.0295,84.4616,720575940637431110
9,14,0.512689,-0.230351,0.827096,34.1984,24.1943,720575940612944298
12,4,-0.133598,-0.762723,0.632776,50.7448,99.9351,720575940615240103
9,17,0.543978,0.025947,0.838698,32.9971,-2.7308,720575940620941703
15,1,-0.617225,-0.581568,0.529917,58.0002,136.7037,720575940622286669
16,1,-0.716016,-0.476167,0.510476,59.3044,146.3752,720575940627928698
9,15,0.517159,-0.154458,0.841837,32.6654,16.6291,720575940620525076
9,16,0.528729,-0.065488,0.846261,32.1927,7.0606,720575940628683516
13,3,-0.293602,-0.738083,0.60748,52.5925,111.6922,720575940610177941
10,10,0.352673,-0.519355,0.778391,38.8865,55.8212,720575940641105883
14,2,-0.447777,-0.678767,0.58204,54.4058,123.4125,720575940630171207
11,7,0.127731,-0.684842,0.717409,44.159,79.4351,720575940625653652
12,5,-0.071458,-0.739856,0.668959,48.0132,95.5167,720575940630508495
10,11,0.388362,-0.456785,0.800327,36.8387,49.6286,720575940634823822
11,8,0.185273,-0.636679,0.748541,41.5359,73.7751,720575940627231290
10,12,0.411151,-0.391042,0.823432,34.5701,43.564,720575940615420358
15,2,-0.541796,-0.604808,0.583665,54.2913,131.8545,720575940639065296
13,4,-0.234329,-0.716299,0.657272,48.9079,108.1149,720575940615088034
10,13,0.427077,-0.32053,0.845497,32.2747,36.889,720575940625383944
12,6,-0.020563,-0.708542,0.705369,45.1406,91.6624,720575940624217528
14,3,-0.386,-0.679064,0.6244,51.3618,119.6152,720575940621959185
16,2,-0.63018,-0.52591,0.571219,55.1647,140.1537,720575940606042814
11,9,0.235561,-0.581993,0.778328,38.8922,67.9645,720575940638407494
10,14,0.445855,-0.248208,0.860004,30.683,29.1047,720575940624234644
10,17,0.479351,0.003348,0.877617,28.6438,-0.4001,720575940619018779
10,15,0.461403,-0.172787,0.870202,29.5178,20.53,720575940622780118
10,16,0.465496,-0.086742,0.880789,28.2623,10.5557,720575940627116318
11,10,0.279984,-0.523581,0.804656,36.4229,61.8645,720575940608927534
12,7,0.031335,-0.672741,0.739215,42.3354,87.3332,720575940637177054
13,5,-0.172526,-0.698726,0.694274,46.0306,103.8698,720575940623604149
15,3,-0.474189,-0.613417,0.631557,50.8349,127.705,720575940636894022
