p,q,x,y,z,theta,phi,rootid
16,8,-0.219639,0.469618,0.855113,31.2278,-115.0653,720575940629857783
14,11,0.089879,0.395474,0.914069,23.9261,-77.1959,720575940632263016
13,13,0.232138,0.291892,0.927853,21.8974,-51.5053,720575940628191228
18,7,-0.449967,0.358043,0.818129,35.1021,-141.4904,720575940614254130
12,16,0.342454,0.080017,0.936121,20.59,-13.1516,720575940627779205
15,10,-0.036709,0.420478,0.90656,24.9658,-94.9894,720575940625171955
13,14,0.255478,0.229796,0.939108,20.0976,-41.9706,720575940613097330
14,12,0.122204,0.333509,0.934793,20.8053,-69.8762,720575940629975195
17,8,-0.307372,0.416263,0.855715,31.1612,-126.4424,720575940612966546
16,9,-0.180506,0.424545,0.887231,27.4727,-113.034,720575940632315178
13,15,0.26801,0.158316,0.950319,18.1362,-30.5708,720575940624901047
15,11,0.009328,0.374331,0.927248,21.9902,-88.5725,720575940631966511
14,13,0.155194,0.271146,0.949945,18.205,-60.2148,720575940617783355
18,8,-0.398993,0.336304,0.853056,31.4544,-139.8731,720575940615729567
13,16,0.277822,0.081545,0.957165,16.8306,-16.3578,720575940637229175
16,10,-0.133843,0.378705,0.915788,23.6821,-109.4646,720575940617942201
17,9,-0.25903,0.380325,0.887838,27.3972,-124.2578,720575940625995568
15,12,0.044154,0.314283,0.948302,18.5039,-82.0027,720575940621699822
14,14,0.183133,0.206429,0.961171,16.0189,-48.4223,720575940641478864
18,9,-0.342429,0.310337,0.886811,27.5248,-137.8146,720575940628534790
14,15,0.198745,0.136241,0.970535,13.9432,-34.4309,720575940612506354
16,11,-0.078893,0.334182,0.939201,20.0822,-103.2831,720575940620543297
15,13,0.079406,0.245933,0.966029,14.9772,-72.1061,720575940644874020
17,10,-0.222858,0.333016,0.916206,23.6224,-123.7909,720575940644074144
14,16,0.204397,0.064228,0.976779,12.3716,-17.4442,720575940653538294
16,12,-0.036898,0.278812,0.959637,16.3344,-97.5387,720575940632147215
15,14,0.110059,0.175017,0.978395,11.9317,-57.8364,720575940623131305
18,10,-0.294648,0.275053,0.915166,23.7707,-136.9699,720575940632285068
