p,q,x,y,z,theta,phi
-8,5,0.987114,-0.145909,0.065707,86.2325,8.4082
-2,-8,0.057876,-0.962231,-0.266012,105.4271,86.5579
-7,3,0.939672,-0.340205,0.035726,87.9526,19.9026
-6,1,0.851906,-0.523678,0.004221,89.7581,31.5796
0,-13,-0.594973,-0.663565,-0.453528,116.9703,131.8804
-1,-10,-0.198114,-0.922605,-0.330986,109.3286,102.1193
-5,-1,0.7372,-0.674184,-0.044855,92.5709,42.4435
-4,-3,0.584646,-0.805953,-0.092891,95.33,54.0425
-3,-5,0.390424,-0.908955,-0.146183,98.4058,66.755
-8,6,0.993846,-0.074338,0.082127,85.2892,4.2777
0,-12,-0.492176,-0.764227,-0.416797,114.6326,122.7823
-7,4,0.959502,-0.274261,0.06432,86.3122,15.9519
-2,-7,0.146808,-0.966157,-0.212105,102.2457,81.36
-6,2,0.887057,-0.459705,0.042439,87.5677,27.3948
-1,-9,-0.098276,-0.955989,-0.276455,106.0488,95.8694
-5,0,0.77793,-0.628328,-0.005391,90.3089,38.9275
0,-11,-0.391652,-0.84282,-0.369137,111.6624,114.9239
-8,7,0.99646,-0.001016,0.08406,85.178,0.0584
-4,-2,0.636243,-0.769421,-0.056454,93.2363,50.4123
-3,-4,0.465269,-0.879184,-0.102766,95.8984,62.112
-7,5,0.972843,-0.2134,0.089651,84.8565,12.3723
-2,-6,0.238729,-0.957282,-0.163154,99.39,75.9971
-1,-8,-0.010409,-0.972869,-0.231121,103.3631,90.613
-6,3,0.913723,-0.400999,0.065653,86.2356,23.6949
1,-13,-0.630239,-0.657356,-0.413137,114.4021,133.7935
-8,8,0.994608,0.070676,0.075894,85.6474,-4.0646
0,-10,-0.278738,-0.909339,-0.308881,107.9918,107.0418
-5,1,0.815353,-0.578006,0.033276,88.093,35.3329
-4,-1,0.691531,-0.722245,-0.012155,90.6965,46.2445
1,-12,-0.563662,-0.730456,-0.385642,112.6836,127.6558
-7,6,0.983874,-0.144661,0.105194,83.9617,8.3644
-3,-3,0.530845,-0.845361,-0.059743,93.425,57.8732
-2,-5,0.318737,-0.940352,-0.118934,96.8306,71.2757
-1,-7,0.074513,-0.980506,-0.181815,100.4755,85.6542
-6,4,0.936911,-0.338975,0.085401,85.1009,19.8901
0,-9,-0.177166,-0.952159,-0.249009,104.4188,100.5403
-5,2,0.849321,-0.523543,0.067502,86.1295,31.6507
1,-11,-0.472537,-0.812297,-0.341881,109.9915,120.1878
-7,7,0.990303,-0.072452,0.118537,83.1923,4.1844
-4,0,0.739917,-0.672096,0.02845,88.3697,42.2501
-3,-2,0.589105,-0.80781,-0.019956,91.1435,53.8981
-2,-4,0.400859,-0.913223,-0.073047,94.189,66.3009
-6,5,0.955238,-0.275215,0.108526,83.7697,16.0723
-1,-6,0.164742,-0.977931,-0.128497,97.3827,80.4377
0,-8,-0.085909,-0.976982,-0.195256,101.2597,95.0253
1,-10,-0.365553,-0.885993,-0.285285,106.5759,112.4206
-7,8,0.992029,0.00018,0.126006,82.7611,-0.0104
-5,3,0.880884,-0.464032,0.093366,84.6427,27.7793
2,-12,-0.631559,-0.690564,-0.352498,110.6402,132.4447
-4,1,0.778297,-0.625152,0.058641,86.6382,38.7725
-6,6,0.96887,-0.208266,0.133854,82.3077,12.1316
-3,-1,0.644966,-0.763967,0.019328,88.8925,49.8278
-2,-3,0.4707,-0.881788,-0.029856,91.7109,61.9066
-7,9,0.990439,0.072698,0.117239,83.2672,-4.1979
-1,-5,0.245964,-0.965504,-0.085467,94.9029,75.7078
0,-7,0.001285,-0.988944,-0.148285,98.5276,89.9255
-5,4,0.908906,-0.403087,0.106823,83.8678,23.9166
1,-9,-0.259009,-0.939344,-0.224828,102.9928,105.4153
2,-11,-0.546786,-0.777278,-0.31123,108.1334,125.125
-4,2,0.812759,-0.576184,0.08622,85.0538,35.3337
-6,7,0.977729,-0.141284,0.155195,81.0719,8.2224
-3,0,0.695451,-0.716436,0.055373,86.8258,45.8515
-2,-2,0.535933,-0.844224,0.007873,89.5489,57.5917
-5,5,0.932197,-0.337549,0.130646,82.4931,19.9054
-1,-4,0.32692,-0.944019,-0.044179,92.5321,70.8987
2,-10,-0.449592,-0.855464,-0.257,104.8921,117.7243
0,-6,0.089449,-0.991013,-0.099457,95.7079,84.8424
1,-8,-0.161365,-0.972959,-0.165265,99.5126,99.4168
-6,8,0.9822,-0.07406,0.172623,80.0597,4.3121
3,-12,-0.719911,-0.600101,-0.348722,110.4092,140.1862
-4,3,0.844346,-0.524346,0.110187,83.6739,31.8406
-3,1,0.737306,-0.670694,0.080924,85.3583,42.2914
-5,6,0.948591,-0.272136,0.161607,80.6998,16.0073
-6,9,0.984234,-0.003011,0.176847,79.8139,0.1753
-2,-1,0.592416,-0.804421,0.044163,87.4688,53.6302
3,-11,-0.623409,-0.728037,-0.285173,106.5692,130.573
2,-9,-0.347696,-0.917135,-0.194862,101.2367,110.7623
-1,-3,0.409192,-0.912446,0.001957,89.8879,65.8459
1,-7,-0.07595,-0.990317,-0.116204,96.6731,94.3856
0,-5,0.174754,-0.983265,-0.051483,92.9511,79.9222
-4,4,0.873363,-0.467242,0.137556,82.0935,28.1464
-3,2,0.773727,-0.625162,0.102563,84.1132,38.9378
-6,10,0.983563,0.068572,0.167039,80.3843,-3.9881
-5,7,0.960247,-0.203867,0.190693,79.0068,11.9863
-2,0,0.644944,-0.760625,0.074144,85.748,49.7049
3,-10,-0.523264,-0.820913,-0.228685,103.2197,122.5142
-4,5,0.902014,-0.399341,0.164006,80.5605,23.88
-1,-2,0.478417,-0.877412,0.035558,87.9622,61.3982
2,-8,-0.244402,-0.960234,-0.134976,97.7572,104.2799
0,-4,0.254166,-0.967029,-0.015929,90.9127,75.2739
1,-6,0.014705,-0.997749,-0.065433,93.7517,89.1556
-5,8,0.966734,-0.139171,0.214609,77.6074,8.192
-3,3,0.804948,-0.578411,0.132287,82.3982,35.6999
4,-11,-0.713161,-0.647056,-0.269666,105.6444,137.7823
-2,1,0.691375,-0.716054,0.096266,84.4758,46.0046
-4,6,0.923019,-0.332478,0.193636,78.8349,19.8094
3,-9,-0.424257,-0.889739,-0.168433,99.6967,115.4934
-1,-1,0.536457,-0.841325,0.06623,86.2025,57.4771
-5,9,0.970686,-0.071833,0.229365,76.7403,4.2323
2,-7,-0.152286,-0.984906,-0.08228,94.7196,98.7894
0,-3,0.337028,-0.941166,0.02488,88.5743,70.2977
1,-5,0.105252,-0.994227,-0.020854,91.195,83.957
-3,4,0.834396,-0.524395,0.169686,80.2304,32.1482
-2,2,0.729544,-0.672314,0.125539,82.7881,42.6623
-4,7,0.938454,-0.263936,0.222805,77.1262,15.7084
4,-10,-0.60577,-0.768115,-0.207467,101.9739,128.2609
-5,10,0.971998,0.000797,0.234987,76.4092,-0.047
-1,0,0.591298,-0.801088,0.09287,84.6713,53.5682
3,-8,-0.327706,-0.938045,-0.112607,96.4656,109.2569
2,-6,-0.062793,-0.997407,-0.035152,92.0145,93.6024
0,-2,0.414749,-0.907911,0.060679,86.5212,65.4483
-3,5,0.865161,-0.457837,0.20465,78.191,27.8874
-5,11,0.969683,0.073812,0.232951,76.5291,-4.3529
1,-4,0.185839,-0.982489,0.01342,89.231,79.289
5,-11,-0.792545,-0.546459,-0.270656,105.7033,145.4138
-4,8,0.94712,-0.199281,0.251497,75.4339,11.8821
-2,3,0.763973,-0.625514,0.158357,80.8885,39.3094
4,-9,-0.50462,-0.850682,-0.147308,98.471,120.6762
-1,1,0.637295,-0.761393,0.118896,83.1716,50.0703
-3,6,0.889944,-0.391829,0.233388,76.5034,23.7632
3,-7,-0.227339,-0.972133,-0.057218,93.2802,103.1624
0,-1,0.476013,-0.875346,0.084739,85.139,61.4626
-4,9,0.953279,-0.127858,0.273701,74.1154,7.6392
1,-3,0.263904,-0.963539,0.044133,87.4705,74.6829
2,-5,0.03076,-0.99951,0.005764,89.6698,88.2373
5,-10,-0.695078,-0.689291,-0.204312,101.7892,135.2395
-2,4,0.79562,-0.571949,0.19966,78.4829,35.7113
-1,2,0.67823,-0.718745,0.153005,81.1989,46.6612
-3,7,0.908091,-0.327557,0.260917,74.8755,19.8349
4,-8,-0.403356,-0.910836,-0.087643,95.028,113.8857
-4,10,0.956214,-0.056636,0.287135,73.3135,3.3896
0,0,0.53428,-0.837063,0.117773,83.2364,57.4507
1,-2,0.34056,-0.93743,0.072418,85.8471,70.0344
3,-6,-0.138567,-0.990343,-0.004526,90.2593,97.965
-2,5,0.82619,-0.509499,0.24046,76.0863,31.6615
2,-4,0.117484,-0.992328,0.038493,87.7939,83.248
-4,11,0.954626,0.016563,0.297346,72.7017,-0.994
5,-9,-0.59297,-0.794877,-0.128675,97.393,126.7225
-3,8,0.921263,-0.259843,0.289407,73.1776,15.7511
-1,3,0.719203,-0.668489,0.189391,79.0827,42.907
6,-10,-0.784401,-0.579981,-0.219858,102.7007,143.521
-4,12,0.943306,0.103074,0.315516,71.608,-6.2359
0,1,0.581308,-0.800256,0.147214,81.5345,54.0053
4,-7,-0.300686,-0.95312,-0.033928,91.9443,107.5092
1,-1,0.410225,-0.905855,0.105557,83.9408,65.6361
-2,6,0.85317,-0.444995,0.272178,74.2061,27.5456
-3,9,0.931959,-0.181323,0.313965,71.7016,11.01
2,-3,0.193507,-0.978951,0.064887,86.2797,78.8186
3,-5,-0.049174,-0.998298,0.031347,88.2036,92.82
-1,4,0.755221,-0.613901,0.22971,76.72,39.1068
5,-8,-0.48678,-0.871133,-0.064591,93.7034,119.196
-3,10,0.93678,-0.106777,0.33323,70.5351,6.5027
-2,7,0.874719,-0.381027,0.299474,72.574,23.5379
0,2,0.623046,-0.760184,0.184214,79.3847,50.662
4,-6,-0.206954,-0.978218,0.01613,89.0758,101.9455
6,-9,-0.68343,-0.719303,-0.124609,97.1582,133.5351
1,0,0.469904,-0.870808,0.14451,81.6911,61.6479
2,-2,0.264706,-0.959412,0.097264,84.4184,74.5756
3,-4,0.03679,-0.99777,0.0557,86.807,87.8883
7,-10,-0.857685,-0.476158,-0.194037,101.1885,150.9624
-1,5,0.784883,-0.557956,0.269525,74.364,35.4082
-3,11,0.937648,-0.034606,0.345861,69.7657,2.1137
-2,8,0.888912,-0.318473,0.329259,70.7762,19.7112
0,3,0.666847,-0.711513,0.221503,77.2027,46.856
5,-7,-0.382493,-0.923897,-0.010629,90.609,112.4896
-3,12,0.931702,0.035727,0.361463,68.8099,-2.196
1,1,0.520597,-0.834382,0.181064,79.5682,58.0387
3,-3,0.111234,-0.990096,0.085655,85.0863,83.5899
2,-1,0.334642,-0.933419,0.129396,82.5653,70.2766
4,-5,-0.129375,-0.989964,0.056866,86.7401,97.4456
-1,6,0.813303,-0.494853,0.306038,72.1793,31.3184
6,-8,-0.580453,-0.81298,-0.046223,92.6493,125.5262
-2,9,0.902912,-0.240756,0.356071,69.1409,14.9302
7,-9,-0.772666,-0.623478,-0.119428,96.8591,141.0993
0,4,0.713082,-0.651325,0.259403,74.9654,42.4084
5,-6,-0.284594,-0.95799,0.035503,87.9654,106.5453
1,2,0.562531,-0.797855,0.216761,77.4812,54.8141
-1,7,0.838111,-0.430647,0.334833,70.4376,27.1955
-2,10,0.913421,-0.159147,0.374612,67.9997,9.8835
2,0,0.39501,-0.903223,0.167793,80.3405,66.3786
4,-4,-0.04786,-0.995621,0.080303,85.394,92.7521
3,-2,0.18442,-0.974529,0.127603,82.6689,79.2841
0,5,0.7441,-0.596781,0.300278,72.5257,38.7302
-2,11,0.916914,-0.084943,0.389941,67.0492,5.2928
6,-7,-0.476016,-0.879375,0.010427,89.4026,118.4272
-1,8,0.855236,-0.368269,0.364623,68.6156,23.2969
1,3,0.60916,-0.751133,0.254407,75.2615,50.9584
5,-5,-0.200626,-0.977218,0.069247,86.0293,101.6018
7,-8,-0.672787,-0.738739,-0.04027,92.3079,132.3249
-2,12,0.917269,-0.001899,0.398263,66.5304,0.1186
8,-9,-0.858858,-0.500054,-0.110949,96.37,149.7907
2,1,0.451176,-0.867048,0.211348,77.7986,62.5094
