p,q,x,y,z,theta,phi,hex1,hex2
-1,-9,-0.095012,-0.957579,-0.272057,105.7867,95.6664,9,18
-5,0,0.777063,-0.629408,-0.004356,90.2496,39.0069,18,14
0,-11,-0.392791,-0.841597,-0.370716,111.7598,115.0195,7,19
-8,7,0.996548,-0.002448,0.082984,85.2399,0.1407,25,11
-4,-2,0.633322,-0.771525,-0.060434,93.4648,50.6184,16,15
-3,-4,0.465704,-0.878974,-0.102591,95.8884,62.0842,14,16
-7,5,0.971566,-0.217736,0.093006,84.6635,12.6318,23,12
-2,-6,0.241804,-0.956646,-0.162357,99.3437,75.8149,12,17
-1,-8,-0.008666,-0.972833,-0.231345,103.3763,90.5104,10,18
-6,3,0.91345,-0.401189,0.068236,86.0873,23.7112,21,13
1,-13,-0.630239,-0.657356,-0.413137,114.4021,133.7935,5,20
-8,8,0.994608,0.070676,0.075894,85.6474,-4.0646,26,11
0,-10,-0.273731,-0.911272,-0.307658,107.9182,106.7194,8,19
-5,1,0.815612,-0.577437,0.036652,87.8995,35.2977,19,14
-4,-1,0.691254,-0.722519,-0.011631,90.6664,46.2669,17,15
1,-12,-0.563124,-0.729834,-0.387599,112.8052,127.653,6,20
-7,6,0.983948,-0.146745,0.101553,84.1714,8.4825,24,12
-3,-3,0.531277,-0.845188,-0.05833,93.3439,57.8469,15,16
-2,-5,0.316839,-0.940787,-0.120551,96.9239,71.3875,13,17
-1,-7,0.073773,-0.980534,-0.181962,100.4841,85.6973,11,18
-6,4,0.936955,-0.338537,0.086651,85.029,19.8656,22,13
0,-9,-0.176094,-0.952557,-0.248245,104.3737,100.4737,9,19
-5,2,0.847645,-0.525762,0.071224,85.9157,31.8098,20,14
1,-11,-0.474569,-0.810475,-0.343386,110.0833,120.3509,7,20
-7,7,0.990719,-0.071871,0.115373,83.3749,4.1492,25,12
-4,0,0.741091,-0.670622,0.032416,88.1424,42.1423,18,15
-3,-2,0.588862,-0.808038,-0.017771,91.0182,53.9171,16,16
-2,-4,0.404187,-0.911707,-0.073641,94.2231,66.0908,14,17
-6,5,0.955489,-0.275452,0.105675,83.9339,16.0814,23,13
-1,-6,0.167483,-0.97792,-0.124987,97.18,80.2816,12,18
0,-8,-0.08606,-0.97746,-0.192784,101.1153,95.0316,10,19
1,-10,-0.362411,-0.8872,-0.285544,106.5913,112.2195,8,20
-7,8,0.991801,0.00227,0.127769,82.6593,-0.1311,26,12
-5,3,0.880607,-0.463415,0.09888,84.3253,27.7553,21,14
2,-12,-0.631559,-0.690564,-0.352498,110.6402,132.4447,6,21
-4,1,0.778568,-0.624569,0.061201,86.4913,38.7367,19,15
-6,6,0.969457,-0.2062,0.132796,82.3688,12.0076,24,13
-3,-1,0.64688,-0.762253,0.022724,88.6979,49.6806,17,16
-2,-3,0.468101,-0.883196,-0.029096,91.6673,62.076,15,17
-7,9,0.990439,0.072698,0.117239,83.2672,-4.1979,27,12
-1,-5,0.244758,-0.965908,-0.084355,94.8389,75.7807,13,18
0,-7,0.001821,-0.988994,-0.147942,98.5077,89.8945,11,19
-5,4,0.909357,-0.403646,0.100701,84.2205,23.9355,22,14
1,-9,-0.256446,-0.939475,-0.227207,103.1327,105.2679,9,20
2,-11,-0.547171,-0.776673,-0.312064,108.1836,125.1649,7,21
-4,2,0.813023,-0.57541,0.088865,84.9017,35.2886,20,15
-6,7,0.977758,-0.141551,0.154769,81.0966,8.2375,25,13
-3,0,0.696735,-0.714689,0.061481,86.4752,45.7288,18,16
-2,-2,0.537529,-0.84321,0.007716,89.5579,57.4833,16,17
-5,5,0.932957,-0.337148,0.126181,82.751,19.8686,23,14
-1,-4,0.324751,-0.944744,-0.044678,92.5607,71.0298,14,18
2,-10,-0.45083,-0.854458,-0.258173,104.9617,117.8171,8,21
0,-6,0.088607,-0.990887,-0.101443,95.8223,84.8901,12,19
1,-8,-0.156799,-0.973982,-0.163628,99.4175,99.1454,10,20
-6,8,0.981707,-0.076076,0.174539,79.9482,4.4312,26,13
3,-12,-0.719911,-0.600101,-0.348722,110.4092,140.1862,6,22
-4,3,0.845465,-0.523615,0.104956,83.9753,31.7708,21,15
-3,1,0.737435,-0.670179,0.083963,85.1836,42.2645,19,16
-5,6,0.947928,-0.274653,0.161238,80.7212,16.1584,24,14
-6,9,0.984115,-0.004448,0.177475,79.7773,0.2589,27,13
-2,-1,0.592225,-0.804424,0.046596,87.3293,53.6391,17,17
3,-11,-0.620016,-0.731985,-0.28245,106.4065,130.2657,7,22
2,-9,-0.3496,-0.917029,-0.191932,101.0655,110.8684,9,21
-1,-3,0.411215,-0.911518,0.006145,89.6479,65.7184,15,18
1,-7,-0.077761,-0.989902,-0.118521,96.8067,94.4916,11,20
0,-5,0.174727,-0.983461,-0.047699,92.734,79.9256,13,19
-4,4,0.871947,-0.470785,0.134422,82.2748,28.3657,22,15
-3,2,0.775048,-0.624213,0.09828,84.3599,38.8475,20,16
-6,10,0.983563,0.068572,0.167039,80.3843,-3.9881,28,13
-5,7,0.960252,-0.203115,0.191467,78.9616,11.9433,25,14
-2,0,0.645163,-0.760152,0.077027,85.5823,49.6777,18,17
3,-10,-0.519666,-0.823478,-0.227664,103.1596,122.2545,8,22
-4,5,0.902676,-0.398714,0.161873,80.6843,23.8312,23,15
-1,-2,0.481355,-0.875721,0.037546,87.8482,61.2039,16,18
2,-8,-0.242041,-0.961505,-0.130096,97.4751,104.1296,10,21
0,-4,0.252424,-0.967459,-0.017474,91.0012,75.3767,14,19
1,-6,0.014573,-0.997961,-0.062145,93.5629,89.1634,12,20
-5,8,0.966332,-0.140103,0.21581,77.5369,8.2495,26,14
-3,3,0.804288,-0.580235,0.128252,82.6314,35.8077,21,16
4,-11,-0.713161,-0.647056,-0.269666,105.6444,137.7823,7,23
-2,1,0.694181,-0.714105,0.090369,84.8152,45.8105,19,17
-4,6,0.923365,-0.332048,0.192721,78.8884,19.7789,24,15
3,-9,-0.420105,-0.89237,-0.164885,99.4906,115.2099,9,22
-1,-1,0.535743,-0.841549,0.069107,86.0373,57.5185,17,18
-5,9,0.970178,-0.075417,0.230363,76.6816,4.4449,27,14
2,-7,-0.15292,-0.984979,-0.080195,94.5998,98.8248,11,21
0,-3,0.33764,-0.940835,0.028799,88.3497,70.2583,15,19
1,-5,0.107213,-0.994079,-0.017688,91.0135,83.8443,13,20
-3,4,0.831772,-0.528592,0.169546,80.2386,32.436,22,16
-2,2,0.730023,-0.672308,0.122749,82.9492,42.6432,20,17
-4,7,0.940124,-0.259769,0.220652,77.2526,15.4462,25,15
4,-10,-0.600646,-0.773148,-0.203635,101.7496,127.8431,8,23
-5,10,0.971433,-0.001444,0.237311,76.2721,0.0852,28,14
-1,0,0.593111,-0.799966,0.09096,84.7811,53.446,18,18
