p,q,x,y,z,theta,phi,hex1,hex2
5,11,0.611638,0.368731,0.699954,45.5767,-31.084,29,24
13,-1,-0.626539,0.638948,0.446312,63.4927,-134.4382,17,32
8,6,0.289541,0.697105,0.655904,49.0117,-67.4446,24,27
10,3,-0.066239,0.809235,0.583739,54.2861,-94.6794,21,29
4,13,0.707941,0.198692,0.677747,47.3322,-15.6774,31,23
7,8,0.448822,0.57155,0.686942,46.6115,-51.8585,26,26
3,15,0.759937,-0.02651,0.649456,49.4994,1.9979,33,22
6,10,0.555419,0.446695,0.701408,45.4599,-38.8079,28,25
14,-1,-0.731715,0.527672,0.431458,64.4399,-144.203,17,33
9,5,0.151623,0.749572,0.644323,49.8851,-78.5645,23,28
11,2,-0.229232,0.792201,0.565571,55.558,-106.1384,20,30
5,12,0.628951,0.302772,0.716066,44.2694,-25.7058,30,24
8,7,0.342493,0.632627,0.694609,46.0039,-61.5697,25,27
12,1,-0.376321,0.755984,0.535603,57.6152,-116.4636,19,31
4,14,0.721731,0.115326,0.682498,46.9608,-9.0786,32,23
13,0,-0.552987,0.6698,0.495554,60.2937,-129.5431,18,32
7,9,0.469725,0.517704,0.715081,44.3502,-47.7818,27,26
10,4,-0.007984,0.782874,0.622129,51.5282,-90.5843,22,29
6,11,0.56425,0.37707,0.734466,42.7379,-33.7535,29,25
9,6,0.209349,0.695718,0.687131,46.5965,-73.2529,24,28
5,13,0.653503,0.225442,0.722571,43.7328,-19.0332,31,24
4,15,0.724359,0.025012,0.688969,46.4514,-1.9776,33,23
11,3,-0.162774,0.777293,0.607718,52.5754,-101.8275,21,30
8,8,0.390329,0.572869,0.720738,43.8845,-55.7311,26,27
14,0,-0.657203,0.562425,0.501759,59.8836,-139.4435,18,33
12,2,-0.308625,0.748786,0.586575,54.0857,-112.3999,20,31
7,10,0.485041,0.461408,0.742858,42.0245,-43.5696,28,26
13,1,-0.473427,0.689175,0.548548,56.7326,-124.487,19,32
10,5,0.060353,0.748142,0.660788,48.64,-85.3879,23,29
6,12,0.575314,0.312337,0.755949,40.8916,-28.4974,30,25
5,14,0.663497,0.147428,0.73351,42.8185,-12.5275,32,24
9,7,0.25866,0.636995,0.726177,43.4332,-67.8998,25,28
8,9,0.41541,0.532241,0.737668,42.4668,-52.0282,27,27
11,4,-0.10363,0.754289,0.648312,49.5855,-97.8228,22,30
7,11,0.517498,0.391725,0.760754,40.4693,-37.1243,29,26
5,15,0.68225,0.058106,0.728806,43.2136,-4.868,33,24
6,13,0.586663,0.25553,0.76846,39.7842,-23.5363,31,25
10,6,0.113264,0.702181,0.702932,45.3373,-80.8369,24,29
12,3,-0.254781,0.726916,0.637714,50.3784,-109.3153,21,31
14,1,-0.574452,0.606726,0.549444,56.6711,-133.4349,19,33
13,2,-0.400847,0.693201,0.598995,53.2021,-120.0389,20,32
5,16,0.697767,-0.04509,0.714904,44.3646,3.6974,34,24
9,8,0.310359,0.582837,0.750985,41.3242,-61.9649,26,28
